Subject	TrialLearn	TrialTest	Condition	Correct	SRPE	RTlearn	RTrecog	RTcertain	Hit	Certainty	LearnChosenInOptions	TestChosenInOptions	TestChosenAltOption	TestChosenNoOption	Rechosen
1	52	47	1	1	0	7432	13	53	1	4	1	1	0	0	1
1	9	56	2	0	-0.5	4785	39	47	1	4	1	1	0	0	0
1	58	49	4	0	-0.25	4162	51	24	1	4	1	1	0	0	0
1	18	5	4	0	-0.25	8813	10	9	1	2	1	1	0	0	0
1	55	50	4	0	-0.25	865	34	17	1	4	1	1	0	0	0
1	20	4	4	0	-0.25	3703	46	48	1	3	1	1	0	0	0
1	15	3	2	0	-0.5	2008	9	13	0	2	1	1	1	0	1
1	14	8	1	1	0	2548	41	40	1	4	1	1	0	0	1
1	3	58	1	1	0	1313	7	57	0	3	1	0	0	1	0
1	29	19	2	1	0.5	2771	28	42	0	1	0	1	1	0	0
1	51	55	4	0	-0.25	4907	5	27	1	4	1	1	0	0	0
1	40	32	2	1	0.5	2357	42	46	1	4	1	1	0	0	1
1	6	2	1	1	0	2810	43	37	0	4	1	0	0	1	0
1	47	46	1	1	0	7973	12	16	1	4	1	1	0	0	1
1	41	44	2	0	-0.5	2944	14	23	1	4	1	1	0	0	0
1	31	26	4	0	-0.25	3006	29	58	1	4	1	1	0	0	0
1	48	40	2	0	-0.5	2650	2	36	1	4	1	1	0	0	0
1	28	18	1	1	0	3793	26	5	0	3	1	0	0	1	0
1	56	53	1	1	0	2936	49	22	1	4	1	1	0	0	1
1	54	52	2	1	0.5	1773	19	18	1	4	1	1	0	0	1
1	5	34	2	1	0.5	1999	25	54	1	4	1	1	0	0	1
1	2	12	4	0	-0.25	4059	35	3	1	4	1	1	0	0	0
1	11	13	2	0	-0.5	2869	59	55	1	4	1	1	0	0	0
1	22	15	2	0	-0.5	3562	8	11	1	2	1	1	0	0	0
1	49	43	1	1	0	3444	31	34	1	4	1	1	0	0	1
1	50	41	4	0	-0.25	4310	52	41	1	4	1	1	0	0	0
1	37	35	4	0	-0.25	3501	54	56	1	4	1	1	0	0	0
1	32	25	1	1	0	3747	17	52	1	4	1	1	0	0	1
1	16	11	2	0	-0.5	3795	36	43	1	4	1	1	0	0	0
1	35	31	1	1	0	5072	40	29	1	4	1	1	0	0	1
1	34	30	1	1	0	5660	50	39	1	4	1	1	0	0	1
1	10	23	4	1	0.75	6106	44	14	1	4	1	1	0	0	1
1	57	51	1	1	0	3188	57	35	1	4	1	1	0	0	1
1	60	57	4	1	0.75	7524	24	1	1	3	1	1	0	0	1
1	8	60	4	0	-0.25	3066	47	6	1	4	1	1	0	0	0
1	36	33	4	0	-0.25	677	22	52	0	1	1	1	1	0	0
1	13	7	1	1	0	2427	20	45	1	4	1	1	0	0	1
1	46	37	4	0	-0.25	1200	3	26	1	4	1	1	0	0	0
1	27	14	2	1	0.5	2266	55	25	1	4	1	1	0	0	1
1	25	24	4	0	-0.25	4131	37	44	1	4	1	1	0	0	0
1	44	39	4	1	0.75	1453	6	21	1	4	1	1	0	0	1
1	59	48	2	1	0.5	2181	4	30	1	4	1	1	0	0	1
1	42	38	2	1	0.5	5990	58	20	1	4	1	1	0	0	1
1	26	21	4	1	0.75	5092	56	51	1	4	1	1	0	0	1
1	43	36	2	0	-0.5	3613	32	31	1	4	1	1	0	0	0
1	7	45	2	1	0.5	2466	27	2	1	4	1	1	0	0	1
1	33	27	2	0	-0.5	4396	33	32	1	4	1	1	0	0	0
1	45	42	4	0	-0.25	5459	21	38	1	4	1	1	0	0	0
1	17	10	2	1	0.5	2911	11	7	0	1	1	0	0	1	0
1	23	22	4	1	0.75	5785	51	49	1	4	1	1	0	0	1
1	24	16	1	1	0	4872	23	8	0	2	1	0	0	1	0
1	39	29	4	0	-0.25	3930	16	19	1	4	1	1	0	0	0
1	21	20	2	1	0.5	2161	1	4	1	3	1	1	0	0	1
1	38	28	1	1	0	6587	53	41	1	4	1	1	0	0	1
1	19	6	1	1	0	3337	30	10	0	1	1	0	0	1	0
1	53	54	1	1	0	5814	18	15	1	4	1	1	0	0	1
1	12	9	1	1	0	1824	15	33	0	1	1	0	0	1	0
1	1	1	1	1	0	1291	38	12	1	3	1	1	0	0	1
1	30	17	1	1	0	2557	45	28	1	4	1	1	0	0	1
1	4	59	2	0	-0.5	3105	48	50	0	4	1	1	1	0	1
2	21	24	2	0	-0.5	5345	7108	2584	1	3	1	1	0	0	0
2	22	26	4	0	-0.25	3298	4709	1826	1	3	1	1	0	0	0
2	26	30	1	1	0	3625	2920	1947	1	3	1	1	0	0	1
2	38	35	2	1	0.5	4571	7906	1363	1	2	1	1	0	0	1
2	35	39	4	0	-0.25	4011	2844	1377	1	4	1	1	0	0	0
2	24	29	2	0	-0.5	6516	4968	1730	1	2	1	1	0	0	0
2	42	45	2	1	0.5	8141	21501	947	1	1	1	1	0	0	1
2	39	31	1	1	0	3565	6159	1687	1	4	1	1	0	0	1
2	43	50	4	1	0.75	9020	4507	1398	1	4	1	1	0	0	1
2	5	4	1	1	0	1781	7770	1887	1	4	1	1	0	0	1
2	29	23	4	0	-0.25	3040	3146	1707	1	3	1	1	0	0	0
2	45	46	2	0	-0.5	4354	7548	978	1	2	1	1	0	0	0
2	48	41	2	0	-0.5	6153	11118	1100	1	2	1	1	0	0	0
2	34	37	1	1	0	3541	4479	950	1	3	1	1	0	0	1
2	32	36	1	1	0	4311	11471	1429	1	3	1	1	0	0	1
2	52	52	2	1	0.5	3684	2109	1343	1	4	1	1	0	0	1
2	2	8	2	1	0.5	3028	2296	6044	1	3	1	1	0	0	1
2	54	53	4	0	-0.25	5033	2390	1735	1	4	1	1	0	0	0
2	58	54	4	0	-0.25	10197	3649	1272	1	3	1	1	0	0	0
2	36	32	1	1	0	4414	18082	984	0	1	1	0	0	1	0
2	55	56	2	1	0.5	4971	4723	2025	1	4	1	1	0	0	1
2	4	7	2	0	-0.5	3755	6155	1589	1	3	1	1	0	0	0
2	46	48	1	1	0	3886	7984	970	1	3	1	1	0	0	1
2	7	3	2	0	-0.5	4442	5999	5262	1	3	1	1	0	0	0
2	51	60	1	1	0	3256	5145	1884	1	3	1	1	0	0	1
2	44	43	4	0	-0.25	6349	1999	1451	1	4	1	1	0	0	0
2	25	22	4	0	-0.25	2062	4483	1893	1	2	1	1	0	0	0
2	49	44	2	1	0.5	7543	1713	1519	1	4	1	1	0	0	1
2	47	42	2	0	-0.5	5556	7865	2203	1	2	1	1	0	0	0
2	28	21	1	1	0	2779	4688	1353	1	2	1	1	0	0	1
2	3	6	4	0	-0.25	4063	4144	2210	1	4	1	1	0	0	0
2	30	28	4	1	0.75	7523	4131	1577	1	3	1	1	0	0	1
2	20	12	4	0	-0.25	3407	14563	2132	1	1	1	1	0	0	0
2	33	40	1	1	0	3418	6779	2134	1	2	1	1	0	0	1
2	14	19	2	0	-0.5	4546	5701	3366	1	2	1	1	0	0	0
2	11	14	1	1	0	3170	4905	2430	1	3	1	1	0	0	1
2	50	49	4	0	-0.25	5207	18811	883	1	4	1	1	0	0	0
2	15	15	1	1	0	2659	11894	1368	0	1	1	0	0	1	0
2	9	9	4	0	-0.25	4770	8208	1570	1	4	1	1	0	0	0
2	13	20	1	1	0	4363	3232	2135	1	3	1	1	0	0	1
2	18	13	1	1	0	2808	6892	1773	1	2	1	1	0	0	1
2	56	59	2	0	-0.5	5505	3446	2042	1	4	1	1	0	0	0
2	60	57	4	1	0.75	4464	5393	1118	1	4	1	1	0	0	1
2	40	33	2	1	0.5	5079	2763	1907	1	3	1	1	0	0	1
2	10	5	4	0	-0.25	5901	4905	1585	1	3	1	1	0	0	0
2	31	34	2	0	-0.5	4257	9993	2504	1	1	1	1	0	0	0
